0	0	0	0	14400	0	0	0	0
1000	685	1974	2930	8175	18	4	31943	80
2000	855	2258	2832	7807	11	11	31266	45
3000	774	2160	3062	7714	14	1	31276	31
4000	709	2179	2980	7840	0	5	30657	10
5000	776	2038	3015	7886	66	0	31331	139
6000	839	2024	3072	7721	75	7	30778	165
7000	663	2017	2970	7983	107	13	31720	228
8000	774	2186	3209	7465	69	24	29473	262
9000	769	2204	3210	7481	37	20	31912	151
10000	730	2292	3198	7493	13	13	30295	110
11000	680	2309	3120	7636	20	1	30600	12
12000	719	2210	3098	7718	0	6	31070	17
13000	750	2207	3066	7717	0	6	30186	55
14000	707	2134	3370	7461	49	15	29736	188
15000	817	2001	3039	7818	60	46	30203	199
16000	719	2014	3046	7781	109	60	29745	551
17000	848	2145	3089	7441	180	40	29438	641
18000	766	1802	3121	7842	200	46	30778	657
19000	706	2078	2989	7654	278	44	30483	668
20000	662	2117	3161	7528	172	104	29937	1006
21000	819	2130	2925	7594	151	109	31398	782
22000	698	2050	3039	7649	201	94	30220	932
23000	731	1947	3031	7826	136	62	30596	798
24000	825	2118	3024	7607	102	82	30711	504
25000	776	2100	3021	7705	85	49	29835	411
26000	762	2090	3077	7680	121	44	30538	783
27000	766	2164	3036	7555	131	67	30198	591
28000	912	2136	3016	7427	208	67	29966	579
29000	716	2047	3115	7653	210	53	30778	771
30000	652	2025	3176	7684	99	64	30900	454
31000	741	2166	3038	7694	93	60	30269	394
32000	726	2042	3205	7656	93	24	31566	337
33000	746	2030	3208	7661	60	10	32060	247
34000	622	2098	3056	7952	58	25	29828	111
35000	769	2115	3049	7748	49	40	31192	256
36000	783	2032	2949	7911	48	57	32133	256
37000	751	2154	3207	7519	73	24	31040	314
38000	759	2088	3092	7766	33	32	31608	279
39000	656	1935	3099	8033	33	17	31352	142
40000	712	2103	2964	7937	47	13	30830	145
41000	683	1845	3262	7875	48	24	32043	178
42000	768	1883	3321	7631	75	15	31326	276
43000	740	2191	2981	7756	57	23	30557	173
44000	709	2116	3328	7508	56	37	31146	294
45000	729	2182	3034	7667	49	62	31790	313
46000	754	2068	3120	7701	53	11	30737	328
47000	729	2049	3252	7618	47	36	31193	442
48000	770	1974	3032	7830	82	20	31036	273
49000	749	1999	3320	7554	74	23	31079	104
50000	780	2009	3171	7643	56	84	31319	541
51000	763	2154	3112	7455	179	98	29863	631
52000	867	2280	3001	7506	102	30	28717	378
53000	725	2163	3203	7537	81	36	29968	312
54000	762	2217	3026	7576	101	51	30354	496
55000	737	2179	2922	7661	173	69	30226	725
56000	691	2033	3131	7642	185	36	30458	651
57000	792	2396	3001	7390	87	67	28821	697
58000	840	2072	3285	7433	72	37	30104	374
59000	711	2100	3161	7674	60	30	30933	300
60000	738	2152	2997	7812	54	18	30002	345
61000	797	2160	2996	7771	30	3	31348	95
62000	771	2175	2999	7788	22	2	29588	83
63000	805	2180	3255	7471	43	9	29609	111
64000	810	2119	3133	7657	24	20	31142	53
65000	847	2104	3201	7541	26	20	30726	55
66000	739	2121	3080	7762	69	7	30365	142
67000	792	2085	3045	7722	78	6	30714	291
68000	820	2149	3092	7694	44	2	31656	158
69000	703	2135	3259	7588	45	0	30422	107
70000	674	2100	3196	7816	5	0	30820	32
71000	746	2015	3121	7834	0	2	30063	0
72000	794	2144	3230	7452	102	30	30437	539
73000	916	2205	2955	7521	110	14	31494	221
74000	696	2023	3414	7493	85	46	30825	550
75000	713	2227	3072	7561	136	24	32084	345
76000	829	2138	3225	7446	73	27	28949	205
77000	696	2092	3236	7667	43	29	31843	152
78000	677	2120	3095	7868	44	9	31132	162
79000	651	2012	3237	7789	41	8	32393	89
80000	786	2043	3038	7805	53	27	30682	275
81000	778	2183	2844	7862	52	10	31683	140
82000	764	2133	3123	7659	29	14	31568	135
83000	671	2179	2988	7871	7	3	31258	39
84000	786	2155	3067	7712	2	6	30272	79
85000	787	2263	2993	7684	5	0	31750	2
86000	785	2064	3041	7751	127	6	31575	266
87000	750	2087	3045	7783	69	34	30659	192
88000	673	1938	3240	7778	73	40	30592	411
89000	689	2150	3074	7649	116	48	31265	429
90000	744	2075	3178	7605	137	46	31422	404
91000	764	1958	3057	7749	168	61	31469	744
92000	727	1958	3116	7678	254	55	31728	849
93000	724	2071	3062	7631	183	55	30751	986
94000	714	2062	3196	7585	101	27	30545	393
95000	701	1973	3141	7798	89	19	31125	314
96000	719	1928	3295	7661	114	11	30596	333
