0	0	0	0	14400	0	0	0	0
1000	4	539	74	13402	116	65	38134	578
2000	4	529	85	13404	100	67	37403	397
3000	2	523	92	13454	60	70	37877	343
4000	6	552	90	13436	18	119	36722	473
5000	4	496	75	13410	64	139	37589	368
6000	2	565	86	13419	58	68	36699	519
7000	5	532	65	13502	36	76	37672	442
8000	2	589	99	13332	72	90	37103	390
9000	5	540	101	13364	92	68	37457	489
10000	5	538	83	13406	87	64	35817	381
11000	2	528	93	13448	87	44	37306	285
12000	5	553	83	13489	41	48	37071	175
13000	1	506	93	13540	22	25	37764	110
14000	3	537	72	13512	56	8	36028	99
15000	1	532	80	13576	12	2	38083	37
16000	3	497	110	13570	3	15	37668	33
17000	4	536	82	13554	0	6	37830	24
18000	5	552	75	13559	4	15	37430	24
19000	3	548	97	13545	3	0	36492	49
20000	2	476	82	13633	4	0	36985	32
21000	12	491	99	13481	113	0	38738	56
22000	4	514	87	13489	67	33	36240	254
23000	1	505	62	13541	52	54	38253	383
24000	5	585	78	13458	37	24	37573	103
25000	4	524	87	13520	44	14	36747	91
26000	1	495	101	13547	63	11	36260	135
27000	7	553	76	13508	41	13	37362	199
28000	4	527	93	13539	28	12	38648	156
29000	1	517	84	13609	0	4	37831	34
30000	5	536	82	13576	2	10	38137	27
31000	2	571	88	13543	3	7	38301	16
32000	2	535	80	13578	6	6	37771	63
33000	3	596	74	13533	0	6	36067	32
34000	2	546	82	13586	0	0	37099	15
35000	7	535	70	13449	111	25	37484	300
36000	7	517	97	13430	70	69	35965	563
37000	6	535	87	13447	63	53	38127	275
38000	5	497	90	13487	59	55	36905	369
39000	3	550	70	13388	82	124	36491	518
40000	6	505	100	13391	94	111	37397	462
41000	2	546	94	13434	85	64	36294	305
42000	6	546	86	13426	64	64	37829	319
43000	4	511	94	13486	65	34	37190	231
44000	6	576	88	13392	94	46	37368	273
45000	2	535	96	13496	48	19	36994	96
46000	4	511	100	13539	18	38	36547	148
47000	3	567	89	13415	54	66	37424	355
48000	4	509	96	13440	56	91	37969	456
49000	4	549	92	13400	84	72	38132	638
50000	4	597	97	13323	53	121	36842	435
51000	6	552	101	13428	49	69	36623	586
52000	3	524	104	13366	96	102	37187	490
53000	4	528	83	13361	125	113	36914	678
54000	2	536	86	13415	101	76	36723	316
55000	5	541	80	13372	103	110	37542	544
56000	0	547	75	13448	51	102	36445	582
57000	3	548	95	13369	119	69	36858	464
58000	4	523	90	13398	76	102	36936	539
59000	5	545	88	13408	86	77	36831	476
60000	5	508	73	13432	129	42	36450	392
61000	2	571	63	13421	80	78	36450	594
62000	2	558	81	13400	90	91	36890	359
63000	8	510	92	13455	75	63	38167	413
64000	2	596	96	13354	55	79	35847	388
65000	2	562	85	13386	66	87	36570	452
66000	5	496	88	13461	65	58	36201	506
67000	1	549	79	13502	37	58	37560	504
68000	4	571	88	13393	78	47	36733	316
69000	5	564	75	13477	57	31	37432	242
70000	2	546	70	13531	40	37	36715	259
71000	1	500	84	13482	68	55	38412	281
72000	3	508	89	13407	91	77	37770	693
73000	14	539	81	13429	65	46	37010	422
74000	1	536	77	13441	66	83	37010	474
75000	4	546	71	13423	82	72	37275	484
76000	4	561	97	13321	108	122	36721	527
77000	6	514	90	13427	119	60	36651	569
78000	2	531	98	13384	84	101	36652	577
79000	3	571	91	13362	71	108	37058	378
80000	7	513	90	13301	129	134	37563	712
