0	0	0	0	14400	0	0	0	0
1000	273	495	4097	6459	28	13	29554	172
2000	347	323	5367	3907	0	0	26176	18
3000	438	258	5852	2347	0	0	23051	3
4000	858	100	5691	1213	78	0	19157	92
5000	570	54	6102	739	0	0	19185	68
6000	558	17	5923	434	0	0	17683	13
7000	778	114	5795	704	0	0	17565	2
8000	501	69	6136	576	0	0	17616	36
9000	643	48	6032	367	8	0	17448	34
10000	717	8	5515	72	48	0	15458	18
11000	942	0	5542	0	186	0	15423	421
12000	866	0	5314	0	55	0	14518	130
13000	1154	0	5276	0	0	0	14219	4
14000	643	0	5748	0	0	0	13831	0
