0	0	0	0	14400	0	0	0	0
1000	128	1605	1042	10766	38	43	33930	252
2000	109	1683	986	10771	41	58	34070	355
3000	80	1501	924	11118	16	66	34943	242
4000	110	1349	1051	11061	22	30	34751	149
5000	99	1701	873	11008	50	35	34376	271
6000	180	1479	1027	10869	75	1	35899	160
7000	108	1392	862	11192	134	36	34908	404
8000	111	1391	916	11051	163	56	34105	601
9000	127	1383	952	10966	138	66	32710	580
10000	127	1559	994	10782	135	78	34674	593
11000	111	1564	1028	10794	72	49	34125	481
12000	136	1485	1033	10802	100	28	35834	460
13000	132	1535	862	11058	114	38	34537	359
14000	161	1563	1035	10665	145	61	33581	547
15000	103	1549	815	11064	125	84	33953	553
16000	136	1491	938	10827	163	92	34006	953
17000	117	1560	880	10922	181	53	33558	650
18000	156	1644	892	10766	176	55	32959	729
19000	177	1547	907	10868	132	52	33775	434
20000	144	1518	1019	10729	178	66	34178	529
21000	118	1620	944	10812	131	58	34229	782
22000	107	1385	1115	10769	140	116	34180	565
23000	122	1358	1054	10915	119	46	34657	518
24000	125	1440	788	11250	109	37	35186	500
25000	135	1696	911	10889	97	15	32576	267
26000	125	1491	984	11041	38	24	33008	211
27000	124	1410	941	11187	12	6	35887	158
28000	154	1556	1032	10802	44	0	34906	112
29000	99	1529	974	11028	58	2	34628	100
30000	168	1487	987	10938	22	5	33943	130
31000	112	1483	1002	11052	18	2	35176	41
32000	111	1471	954	11091	0	1	34702	9
33000	122	1373	1236	10539	193	0	33538	377
34000	106	1473	945	11046	102	20	34367	368
35000	123	1375	961	11057	110	14	33540	559
36000	174	1545	1042	10704	80	51	34180	424
37000	94	1478	899	11141	36	29	35679	120
38000	135	1496	987	10927	27	51	34860	284
39000	133	1424	1063	10915	61	13	34619	220
40000	147	1553	939	10979	39	20	35049	292
41000	116	1360	940	11184	69	13	35260	221
42000	96	1510	915	11186	24	7	35920	75
43000	116	1480	941	11081	60	13	35367	182
44000	185	1553	1014	10866	0	14	33923	23
45000	156	1646	878	11014	1	2	34160	16
46000	141	1722	904	10933	0	0	34093	2
47000	137	1531	1026	10784	111	19	34467	413
48000	125	1510	997	10892	98	40	32380	434
49000	166	1588	1010	10697	120	36	33807	603
50000	134	1666	958	10778	100	3	33351	304
51000	149	1450	957	10944	111	32	33038	329
