0	0	-1
0	1	L
0	2	L
0	3	-1
0	4	-1
0	5	L
0	6	-1
0	7	L
0	8	L
0	9	L
0	10	-1
0	11	-1
0	12	-1
0	13	L
0	14	-1
0	15	-1
0	16	-1
0	17	-1
0	18	-1
0	19	L
0	20	L
0	21	L
0	22	-1
0	23	-1
0	24	-1
0	25	L
0	26	-1
0	27	L
0	28	L
0	29	L
0	30	-1
0	31	L
0	32	-1
0	33	-1
0	34	-1
0	35	L
0	36	L
0	37	L
0	38	-1
0	39	-1
0	40	L
0	41	-1
0	42	L
0	43	L
0	44	L
0	45	L
0	46	L
0	47	-1
0	48	-1
0	49	L
0	50	L
0	51	-1
0	52	-1
0	53	L
0	54	L
0	55	L
0	56	L
0	57	-1
0	58	L
0	59	-1
0	60	L
0	61	-1
0	62	L
0	63	-1
0	64	-1
0	65	L
0	66	L
0	67	L
0	68	L
0	69	-1
0	70	L
0	71	L
0	72	L
0	73	-1
0	74	-1
0	75	-1
0	76	-1
0	77	-1
0	78	L
0	79	-1
0	80	-1
0	81	-1
0	82	-1
0	83	L
0	84	-1
0	85	-1
0	86	-1
0	87	-1
0	88	L
0	89	-1
0	90	L
0	91	L
0	92	-1
0	93	U
0	94	L
0	95	-1
0	96	L
0	97	-1
0	98	L
0	99	L
0	100	-1
0	101	-1
0	102	-1
0	103	-1
0	104	-1
0	105	-1
0	106	-1
0	107	-1
0	108	-1
0	109	-1
0	110	-1
0	111	-1
0	112	-1
0	113	L
0	114	-1
0	115	-1
0	116	L
0	117	L
0	118	-1
0	119	-1
1	0	L
1	1	L
1	2	L
1	3	L
1	4	L
1	5	L
1	6	-1
1	7	L
1	8	L
1	9	L
1	10	L
1	11	L
1	12	L
1	13	-1
1	14	-1
1	15	-1
1	16	L
1	17	L
1	18	-1
1	19	L
1	20	-1
1	21	L
1	22	-1
1	23	-1
1	24	-1
1	25	L
1	26	-1
1	27	-1
1	28	-1
1	29	L
1	30	-1
1	31	-1
1	32	-1
1	33	L
1	34	-1
1	35	L
1	36	-1
1	37	-1
1	38	L
1	39	-1
1	40	-1
1	41	L
1	42	L
1	43	-1
1	44	L
1	45	L
1	46	-1
1	47	L
1	48	L
