0	0	0	0	14400	0	0	0	0
1000	38	1860	256	11787	126	23	35668	445
2000	51	1781	265	11827	92	50	33949	497
3000	42	1830	240	11820	45	83	34310	376
4000	43	1936	251	11641	74	109	35100	552
5000	34	1876	283	11659	56	152	35101	664
6000	68	1716	330	11722	14	172	35270	504
7000	41	1867	360	11589	11	167	35094	522
8000	74	1669	326	11749	19	204	35384	735
9000	38	1690	355	11679	24	242	34638	852
10000	53	1754	277	11690	63	228	34900	905
11000	35	1755	291	11646	92	253	37008	960
12000	51	1900	275	11481	74	263	33496	772
13000	41	1705	279	11737	50	231	35048	927
14000	38	1831	259	11650	48	234	34903	758
15000	51	1713	272	11790	9	232	35498	590
16000	42	1828	359	11476	26	294	33591	1037
17000	63	1620	407	11597	10	306	35689	1070
18000	38	1912	276	11480	15	342	34494	1067
19000	53	1681	345	11532	24	369	35351	1241
20000	56	1792	368	11299	31	439	34124	1339
21000	59	1740	318	11483	51	387	35346	1436
22000	38	1673	279	11566	77	414	35432	1490
23000	29	1812	328	11338	60	494	34335	1576
24000	50	1708	285	11478	91	476	33278	1470
25000	54	1876	255	11228	216	445	33821	1685
26000	68	1879	263	11065	178	582	34239	2220
27000	52	1754	309	11228	158	549	33170	2048
28000	63	1654	409	11220	123	524	33107	1975
29000	45	1660	369	11272	123	550	33656	2176
30000	50	1601	300	11366	227	491	34098	1791
31000	55	1654	301	11407	220	400	34129	1954
32000	76	1848	314	11106	201	470	32291	2172
33000	55	1838	355	11090	167	535	32836	1710
34000	54	1767	280	11325	147	467	33851	1657
35000	57	1699	328	11378	76	507	32821	1474
36000	49	1651	299	11402	35	602	34002	1902
37000	50	1757	285	11333	72	564	34429	1673
38000	46	1717	274	11368	94	565	34475	1711
39000	28	1871	280	11261	101	529	33727	1698
40000	98	1728	276	11247	178	504	33572	2177
41000	68	1885	334	11052	263	424	32611	1876
42000	63	1737	339	11279	148	458	33918	1672
43000	98	1702	360	11208	230	397	34434	1923
44000	71	1872	405	11001	319	349	32698	1549
45000	65	1737	384	11085	268	472	31846	2145
46000	95	1672	346	11128	253	500	33871	2127
47000	73	1680	336	11139	263	548	32238	2408
48000	66	1483	416	11183	300	524	32477	2560
49000	56	1752	296	11090	231	603	33294	2441
50000	61	1725	331	11032	173	716	32360	2088
51000	53	1759	252	11147	155	683	33276	2096
52000	62	1723	393	10856	212	716	32730	2684
53000	89	1687	323	10972	235	722	32848	2614
54000	79	1647	312	10908	294	778	32916	3285
55000	96	1697	290	10826	247	867	32564	3314
56000	53	1725	294	10746	185	1025	31674	3564
57000	86	1862	372	10427	185	1069	31263	3427
58000	90	1886	358	10466	197	1043	30389	3626
59000	54	1697	319	10469	262	1234	29360	4198
60000	60	1771	368	10415	311	1086	32445	4131
61000	49	1650	330	10627	325	1056	31355	3979
62000	88	1836	238	10530	350	1004	30538	3850
63000	86	1829	368	10403	390	905	32654	3840
64000	54	1828	281	10627	367	870	32754	3980
65000	52	1782	338	10597	398	868	32085	4019
66000	72	1729	298	10759	289	899	32531	3305
67000	93	1619	315	10684	257	1039	32275	3515
68000	53	1849	365	10461	195	1119	32358	3269
69000	63	1831	335	10494	226	1098	30881	3711
70000	41	1694	331	10722	183	1077	31462	3563
71000	76	1675	278	10735	220	1048	32205	3651
72000	65	1776	258	10552	261	1165	32442	4450
73000	87	1823	333	10451	154	1183	32292	3746
74000	57	1777	328	10408	192	1234	32538	4075
75000	75	1617	351	10445	297	1195	30788	4239
76000	79	1545	399	10635	307	1035	32892	3751
77000	83	1521	339	10681	299	1121	32525	4317
78000	53	1637	350	10600	376	1016	31707	3327
79000	61	1922	288	10449	308	1041	31201	3969
80000	59	1683	318	10725	229	1003	30954	3811
81000	44	1844	294	10790	213	853	32115	3024
82000	40	1852	286	10789	165	943	31699	3477
83000	43	1811	244	10788	298	905	32369	3118
84000	109	1926	364	10312	339	927	31269	3271
85000	72	1633	330	10616	382	999	32043	4081
86000	83	1742	322	10678	355	852	30542	3863
87000	86	1572	339	10533	430	1043	31714	4274
88000	67	1708	370	10595	352	933	30679	4038
89000	60	1704	339	10787	324	795	31968	3177
90000	102	1506	334	10996	230	807	33321	2816
91000	75	1687	381	10752	194	896	32976	2931
92000	48	1725	270	11077	95	854	33635	2376
93000	49	1744	258	11069	113	852	32719	2950
94000	52	1962	231	11001	117	731	32340	2553
95000	64	1799	331	10872	77	869	31523	3107
96000	60	1759	328	11200	57	623	32932	2036
97000	69	1698	394	11082	35	710	33671	2561
98000	63	1713	402	11102	50	659	32658	2412
99000	41	1832	308	11033	101	725	33732	2028
100000	53	1669	386	11160	56	711	33940	2131
101000	33	1847	299	11109	77	716	33380	2140
102000	38	1901	293	11063	73	689	33042	2235
103000	49	1882	336	10833	115	844	32900	2788
104000	55	1799	349	10965	82	775	33113	2168
105000	51	1941	323	10929	57	760	32158	2594
106000	47	1719	266	11221	100	708	34379	2649
107000	48	1842	324	10927	84	811	31162	2678
108000	60	1690	412	10940	87	780	33061	2400
109000	49	1751	377	11001	120	720	33022	2910
110000	65	1574	359	11123	209	705	33310	3001
111000	81	1833	344	10925	178	662	32641	2364
112000	75	1778	347	10964	212	604	33924	2411
113000	68	1711	283	11093	239	628	34300	2357
114000	68	1715	270	11154	223	651	32947	2445
115000	84	1667	331	10878	211	865	33040	3159
116000	54	1802	246	10968	156	833	33288	2891
117000	73	1721	288	10889	185	888	32599	3518
118000	64	1898	328	10522	219	1006	31034	3702
119000	73	1784	311	10705	212	977	31241	3198
120000	55	1689	295	10691	212	1092	32405	3560
121000	95	1652	366	10690	146	1060	31812	3294
122000	64	1697	320	10628	133	1179	31042	4082
123000	29	1612	399	10775	139	1036	31333	3726
124000	58	1840	293	10538	169	1121	32316	3418
125000	62	1856	216	10754	203	979	32244	3451
126000	45	2006	234	10542	149	1075	30938	3808
127000	48	1683	347	10711	134	1119	33335	3949
128000	53	1716	327	10546	177	1241	31525	4337
129000	48	1675	349	10599	172	1160	33122	3818
130000	65	1672	344	10535	192	1212	31721	3535
131000	73	1944	312	10387	236	1114	31762	3782
132000	27	1929	265	10683	211	966	31273	3400
133000	71	1972	253	10587	184	1019	31412	3436
134000	63	1964	220	10626	181	1052	32176	3352
135000	78	1775	311	10621	185	1061	31608	3692
136000	62	1773	315	10613	197	1037	32423	3533
137000	59	1752	298	10863	164	916	31547	3316
138000	51	1744	311	10844	150	966	32178	3027
139000	57	1872	291	10763	137	941	31648	3004
140000	50	1840	276	10831	164	931	31178	3326
141000	31	1742	291	10936	170	895	31312	3217
142000	66	1684	373	10690	131	1022	33322	3523
143000	66	1581	349	10931	165	910	33349	3360
144000	37	1767	298	11041	124	793	33146	2790
145000	28	1962	371	10688	101	888	32015	2818
146000	37	1756	284	10978	100	868	32488	2588
147000	44	1727	263	11062	127	851	32882	3025
148000	70	1683	354	10828	203	882	33066	2946
149000	69	1954	283	10758	167	811	32258	3037
150000	63	1983	315	10729	138	834	32103	3086
151000	56	1770	322	10899	128	890	32561	3024
152000	102	1678	339	10881	159	863	32608	3123
153000	70	1583	349	10914	250	879	32455	3096
154000	114	1650	469	10532	247	904	32308	3624
155000	85	1600	366	10784	257	902	31658	3625
156000	71	1618	278	10686	343	1046	32654	3928
157000	62	1606	319	10656	312	1081	32357	3794
158000	89	1724	307	10355	352	1149	30518	4626
159000	72	1831	265	10509	407	977	32179	4122
160000	66	1611	387	10328	419	1152	31953	4313
161000	84	1724	279	10147	483	1316	31258	5293
162000	71	1688	300	10145	430	1403	29547	5360
163000	96	1659	347	10068	476	1378	30113	5686
164000	71	1740	390	10022	474	1270	29353	4968
165000	101	1869	326	9982	424	1308	30945	5003
166000	76	1844	408	9724	399	1549	29487	5392
167000	81	1909	244	9937	418	1466	28905	5896
168000	71	1793	279	9991	544	1406	29005	6361
169000	81	1776	317	9924	529	1420	28778	5922
170000	72	1617	341	10042	477	1471	30426	5499
171000	58	1748	333	10085	446	1371	30181	5584
172000	68	1758	305	10174	372	1389	30189	4816
173000	81	1815	265	10247	401	1228	29880	4665
174000	61	1912	218	10215	455	1221	29534	4695
175000	72	1912	235	10122	376	1304	31078	4802
176000	73	1813	277	10093	335	1456	29823	4997
177000	51	1764	289	10059	409	1487	29483	5597
178000	82	1640	271	10153	470	1445	31117	5265
179000	62	1652	367	10036	325	1580	29314	5263
180000	93	1662	336	10164	345	1447	30035	5513
181000	75	1861	267	9995	404	1439	30697	5763
182000	65	1586	333	10296	427	1355	30539	4878
183000	77	1754	236	10332	371	1321	30965	5010
184000	71	1867	238	10481	352	1083	30389	3869
185000	92	1628	340	10494	352	1095	31842	4587
186000	66	1697	356	10578	395	936	32740	3469
